10 Most popular Centrally Protected Ticketed Monuments for Domestic Visitors in 2021-22 - Rank,10 Most popular Centrally Protected Ticketed Monuments for Domestic Visitors in 2021-22 - Name of Monument,10 Most popular Centrally Protected Ticketed Monuments for Domestic Visitors in 2021-22 - No. of Domestic visitors,10 Most popular Centrally Protected Ticketed Monuments for Domestic Visitors in 2021-22 - Percentage share,10 Most popular Centrally Protected Ticketed Monuments for Foreign Visitors in 2021-22 - Rank,10 Most popular Centrally Protected Ticketed Monuments for Foreign Visitors in 2021-22 - Name of Monument,10 Most popular Centrally Protected Ticketed Monuments for Foreign Visitors in 2021-22 - No. of Foreign visitors,10 Most popular Centrally Protected Ticketed Monuments for Foreign Visitors in 2021-22 - Percentage share,S. No.,States/UTs *,Domestic -2019,Foreign - 2019,Domestic -2020,Foreign - 2020,Growth rate - DTV  2020/19,Growth rate - FTV 2020/19
1,Taj Mahal,3294611.0,12.65,1,"Group of Monument, Mamallapuram",144984.0,45.5,,,,,,,,
2,Red Fort,1323501.0,5.08,2,Taj Mahal,38922.0,12.21,,,,,,,,
3,Qutub Minar,1157664.0,4.44,3,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",25579.0,8.03,,,,,,,,
4,"Group of Monument, Mamallapuram",1142150.0,4.38,4,Agra Fort,13598.0,4.27,,,,,,,,
5,Agra Fort,1027462.0,3.94,5,"Gingee Fort, Gingee",10483.0,3.29,,,,,,,,
6,Golkonda Fort,946972.0,3.64,6,Fort Vattakottai,9174.0,2.88,,,,,,,,
7,"Sun Temple, Konark",672891.0,2.58,7,Qutub Minar,8456.0,2.65,,,,,,,,
8,Upper Fort Aguada,656756.0,2.52,8,"Fort Museum, Thirumayam",8422.0,2.64,,,,,,,,
9,Chittorgarh Fort,590389.0,2.27,9,Red Fort,5579.0,1.75,,,,,,,,
10,Shaniwarwada,516448.0,1.98,10,"Rock Cut Jain Temple, Sittanasal",5432.0,1.7,,,,,,,,
Others,Others,14718047.0,56.51,Others,Others,48044.0,15.08,,,,,,,,
Total,Total,26046891.0,100.0,Total,Total,318673.0,100.0,,,,,,,,
,,,,,,,,1,A&N Island ,505398.0,16206.0,191207.0,5412.0,-62.17,-66.6
,,,,,,,,2,Andhra Pradesh  ,237051508.0,280356.0,70828590.0,67591.0,-70.12,-75.89
,,,,,,,,3,Arunachal Pradesh ,555639.0,7825.0,42871.0,961.0,-92.28,-87.72
,,,,,,,,4,Assam ,5447805.0,26878.0,1266898.0,7285.0,-76.74,-72.9
,,,,,,,,5,Bihar  ,33990038.0,1093141.0,5638024.0,308080.0,-83.41,-71.82
,,,,,,,,6,Chandigarh  ,1563795.0,44132.0,417953.0,12218.0,-73.27,-72.31
,,,,,,,,7,Chhattisgarh ,17304506.0,6817.0,2810227.0,2322.0,-83.76,-65.94
,,,,,,,,8,Dadra & Nagar Haveli ,618330.0,1666.0,104959.0,222.0,-83.03,-86.67
,,,,,,,,9,Daman & Diu,897804.0,5703.0,297436.0,1382.0,-66.87,-75.77
,,,,,,,,10,Delhi #,36467598.0,2983436.0,9583671.0,681230.0,-73.7,-77.2
,,,,,,,,11,Goa ,7127287.0,937113.0,3258715.0,302751.0,-54.28,-67.69
,,,,,,,,12,Gujarat ,58864661.0,595607.0,19464517.0,210047.0,-66.93,-64.73
,,,,,,,,13,Haryana ,4549017.0,48046.0,2114731.0,17474.0,-53.51,-63.63
,,,,,,,,14,Himachal Pradesh  ,16829231.0,382876.0,3170714.0,42665.0,-81.16,-88.86
,,,,,,,,15,Jharkhand,35580768.0,176043.0,2574704.0,490.0,-92.76,-99.72
,,,,,,,,16,J&K ,16163330.0,57920.0,2519524.0,5317.0,-84.41,-90.82
,,,,,,,,17,Karnataka ,227934714.0,608754.0,77453339.0,165325.0,-66.02,-72.84
,,,,,,,,18,Kerala ,18384233.0,1189771.0,4988972.0,340755.0,-72.86,-71.36
,,,,,,,,19,Lakshdweep ,6985.0,820.0,3462.0,413.0,-50.44,-49.63
,,,,,,,,20,Ladakh,241285.0,38652.0,6743.0,1126.0,-97.21,-97.09
,,,,,,,,21,Madhya Pradesh,88707139.0,327958.0,23519632.0,99819.0,-73.49,-69.56
,,,,,,,,22,Maharashtra #,149294703.0,5528704.0,39234591.0,1262409.0,-73.72,-77.2
,,,,,,,,23,Manipur  ,167560.0,13608.0,49669.0,3139.0,-70.36,-76.93
,,,,,,,,24,Meghalaya ,1245633.0,25813.0,24734.0,2311.0,-98.01,-91.05
,,,,,,,,25,Mizoram ,163762.0,2249.0,30890.0,265.0,-81.14,-88.22
,,,,,,,,26,Nagaland ,125949.0,5577.0,10979.0,518.0,-91.28,-90.71
,,,,,,,,27,Odisha ,15307637.0,115128.0,4622273.0,10206.0,-69.8,-91.14
,,,,,,,,28,Puducherry,1713248.0,149919.0,1114942.0,92080.0,-34.92,-38.58
,,,,,,,,29,Punjab ,47385387.0,1101343.0,16692197.0,359114.0,-64.77,-67.39
,,,,,,,,30,Rajasthan  ,52220431.0,1605560.0,15117239.0,446457.0,-71.05,-72.19
,,,,,,,,31,Sikkim ,1421823.0,133388.0,316408.0,19935.0,-77.75,-85.05
,,,,,,,,32,Tamil Nadu ,494865257.0,6866327.0,140651241.0,1228323.0,-71.58,-82.11
,,,,,,,,33,Telengana,83035894.0,323326.0,39997001.0,46694.0,-51.83,-85.56
,,,,,,,,34,Tripura ,437201.0,154405.0,127815.0,31877.0,-70.77,-79.35
,,,,,,,,35,Uttar Pradesh,535855162.0,4745181.0,86122293.0,890932.0,-83.93,-81.22
,,,,,,,,36,Uttarakhand ,37585920.0,152273.0,7005264.0,41339.0,-81.36,-72.85
,,,,,,,,37,West Bengal ,92366025.0,1656145.0,28841732.0,463285.0,-68.77,-72.03
,,,,,,,,Grand Total,Grand Total,2321982663.0,31408666.0,610216157.0,7171769.0,-73.70%,-77.20%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
